"","Name","country","times","year","totaltime"
"1","Hannes Kolehmainen","FIN","14:36.6",1912,14.61
"2","Joseph Guillemot","FRA","14:55.6",1920,14.9266666666667
"3","Paavo Nurmi","FIN","14:31.2",1924,14.52
"4","Ville Ritola","FIN","14:38.0",1928,14.6333333333333
"5","Lauri Lehtinen","FIN","14:29.9",1932,14.4983333333333
"6","Gunnar Höckert","FIN","14:22.2",1936,14.37
"7","Gaston Reiff","BEL","14:17.6",1948,14.2933333333333
"8","Emil Zátopek","CZE","14:06.6",1952,14.11
"9","Vladimir Kuts","URS","13:39.6",1956,13.66
"10","Murray Halberg","NZL","13:43.76",1960,13.7293333333333
"11","Bob Schul","USA","13:48.8",1964,13.8133333333333
"12","Mohamed Gammoudi","TUN","14:05.01",1968,14.0835
"13","Lasse Viren","FIN","13:26.42",1972,13.4403333333333
"14","Lasse Viren","FIN","13:24.76",1976,13.4126666666667
"15","Miruts Yifter","ETH","13:20.91",1980,13.3485
"16","Saïd Aouita","MAR","13:05.59",1984,13.0931666666667
"17","John Ngugi","KEN","13:11.70",1988,13.195
"18","Dieter Baumann","FRG","13:12.52",1992,13.2086666666667
"19","Vénuste Niyongabo","BDI","13:07.96",1996,13.1326666666667
"20","GOLD Million Wolde","ETH","13:35.49",2000,13.5915
"21","Hicham El Guerrouj","MAR","13:14.39",2004,13.2398333333333
"22","Kenenisa Bekele","ETH","12:57.82",2008,12.9636666666667
"23","Mo Farah","GBR","13:41.66",2012,13.6943333333333
